ADC,DAC
679,41
694,44
721,48
778,52
839,56
884,61
955,64
1022,68
1074,70
1119,71
1152,71
1151,70
1152,69
1139,67
1114,64
1087,61
1023,59
978,57
1003,56
930,55
913,55
903,56
921,58
943,60
960,62
985,65
1040,67
1157,69
1113,71
1151,71
1152,71
1167,70
1152,69
1145,67
1121,64
1088,62
1031,59
976,56
944,54
912,52
887,50
843,49
832,48
813,48
804,47
788,46
777,45
759,44
749,43
738,40
710,38
651,35
647,33
599,30
560,28
542,26
509,25
475,25
468,27
485,29
500,33
511,38
624,43
693,49
779,56
862,62
954,67
1054,72
1133,75
1179,78
1229,78
1257,77
1232,75
1233,71
1191,66
1135,61
1037,55
944,50
866,45
806,42
734,39
704,38
674,38
656,39
663,41
688,45
726,49
767,54
848,58
913,62
960,66
1042,68
1115,70
1127,70
1034,70
1191,68
1138,66
1097,63
1055,61
994,58
943,56
907,54
903,53
880,53
878,53
880,54
895,56
901,59
944,61
970,63
990,65
1047,67
1081,67
1122,68
1130,67
1129,65
1101,63
1072,61
1045,58
962,55
924,52
886,50
848,48
775,46
791,44
800,43
743,43
702,42
679,42
718,41
674,40
697,39
695,37
501,35
710,33
603,31
571,29
482,27
590,25
581,25
471,25
471,26
343,28
334,32
555,36
599,42
668,48
752,54
954,60
930,66
1177,70
1104,74
1075,76
1216,77
1234,76
1130,74
1333,71
1136,66
1088,61
995,55
918,50
939,45
799,40
739,37
688,36
674,35
715,36
738,39
652,42
692,46
719,51
846,55
816,60
944,63
985,66
1069,68
1069,69
1005,68
1111,67
1095,65
1094,62
1060,59
977,56
951,54
902,52
859,50
805,50
837,50
755,51
841,52
856,54
876,57
913,59
1022,61
971,62
1007,63
991,63
1051,63
1008,62
1014,60
977,57
947,54
912,51
871,48
811,45
754,43
733,41
725,40
697,38
660,38
658,37
653,37
641,37
720,36
639,35
633,34
606,33
595,31
564,29
537,28
528,26
474,25
446,24
479,24
467,26
457,28
451,31
603,35
577,41
656,46
729,52
824,58
940,64
1122,69
1087,73
968,75
1198,76
1326,76
1246,74
1210,70
1137,66
1121,60
1041,55
944,49
949,44
880,39
720,36
665,34
656,33
605,34
598,36
593,39
615,43
762,47
739,52
763,56
883,60
930,64
1008,66
1058,67
1176,67
1088,66
991,64
1129,61
1023,58
1072,55
922,52
940,49
811,47
816,46
877,46
678,47
847,48
803,50
816,52
863,54
854,56
892,58
923,59
1072,59
960,59
965,58
976,56
903,53
887,50
848,47
904,44
765,41
729,39
784,37
626,35
626,34
570,33
676,33
642,33
590,33
579,33
566,32
554,32
685,31
560,30
530,28
530,27
527,25
438,24
532,24
454,24
468,25
449,27
475,31
634,35
597,40
646,45
647,51
784,57
992,62
972,67
1059,71
1157,74
1242,75
1168,75
1201,73
1152,70
1130,65
1070,60
1022,54
992,48
861,43
662,38
719,34
624,32
592,31
575,31
511,33
560,36
586,39
636,44
837,49
783,53
864,57
788,61
962,63
987,65
1091,65
1123,64
1004,62
1005,59
969,56
937,53
895,50
813,47
793,45
778,43
673,43
704,43
825,44
715,45
735,47
778,49
786,52
799,53
897,54
943,55
882,55
883,54
903,52
753,50
896,47
916,44
886,41
747,38
657,35
720,33
633,31
451,30
585,29
530,29
525,29
530,29
484,29
671,29
569,29
419,29
523,28
503,27
481,26
416,25
558,25
475,24
473,25
458,26
496,28
485,30
650,34
649,39
631,44
688,50
720,56
866,61
946,66
1008,70
1200,73
1152,74
1186,74
1282,72
1181,69
1132,65
1120,60
1126,54
886,48
848,42
748,37
544,33
615,30
550,28
547,28
510,30
496,32
565,36
605,40
800,45
701,50
784,54
896,58
918,61
967,62
996,63
1056,62
890,60
1078,58
962,55
1033,51
873,48
831,45
790,42
810,40
711,39
684,39
561,40
684,41
728,43
686,45
747,47
780,49
795,50
816,51
813,51
845,50
827,49
831,47
982,44
756,41
715,38
674,35
627,32
684,29
561,28
523,26
485,26
388,25
482,25
576,26
474,27
500,27
477,27
481,28
479,27
539,27
579,26
486,26
477,25
471,25
464,25
487,26
470,28
525,31
589,34
570,39
628,44
693,49
773,55
849,60
947,65
1034,69
1088,71
1131,73
1166,73
1179,71
1171,69
1155,64
1094,59
1019,53
959,47
847,42
752,36
660,32
603,28
554,26
551,26
483,27
485,29
524,33
562,37
665,42
673,47
730,51
812,55
861,58
910,60
947,61
976,61
990,59
957,57
945,53
891,50
857,46
798,43
820,40
718,38
672,36
641,36
637,36
647,37
642,39
641,41
688,43
671,45
737,46
765,47
783,48
797,47
739,46
827,44
752,41
722,38
683,35
634,32
605,29
560,27
483,25
481,24
465,23
443,23
443,23
432,24
448,24
449,25
460,26
451,27
493,27
497,27
502,27
495,27
487,27
491,27
501,27
502,28
510,30
625,32
560,35
583,39
639,44
704,49
772,54
844,59
931,64
1002,68
1085,71
1118,72
1163,72
1178,71
1165,68
1141,64
1088,59
994,53
912,47
825,41
752,36
659,31
597,27
538,25
500,24
452,25
462,27
480,30
498,34
569,39
640,44
720,49
787,53
831,56
892,58
932,60
958,59
945,58
944,56
929,53
881,49
844,45
787,41
624,38
685,36
726,34
624,33
593,33
582,34
607,35
609,37
642,39
652,41
689,43
719,44
733,45
746,45
752,44
752,42
729,40
705,37
662,34
613,31
581,28
523,25
480,23
453,22
446,21
417,21
416,21
399,22
425,23
436,25
448,26
475,27
496,28
560,28
527,28
507,29
496,29
505,29
511,29
528,30
535,32
593,34
592,37
622,40
653,45
704,49
775,54
848,59
917,63
976,67
1059,70
1104,72
1138,72
1172,71
1164,68
1137,64
1088,59
1001,54
921,47
837,41
745,35
663,30
593,26
528,24
471,22
452,23
443,25
455,28
475,32
555,36
592,41
659,46
741,51
809,54
848,57
897,58
923,58
939,57
925,55
917,52
880,49
837,45
784,41
730,37
686,34
625,32
592,31
571,30
555,31
574,32
566,34
589,68
923,71
1084,73
1146,76
1200,77
1232,78
1252,79
1277,79
1279,78
1280,77
1251,75
1233,73
1201,72
1190,70
1165,69
1152,68
1129,67
1117,67
1104,66
1093,66
1088,65
1098,64
1067,63
1045,61
1006,58
973,54
914,50
857,46
797,42
751,37
688,33
622,30
581,28
532,27
465,28
506,29
528,32
553,37
614,42
681,48
763,54
848,61
941,66
1031,71
1097,75
1168,77
1223,78
1252,78
1264,75
1234,72
1200,68
1146,63
1066,58
987,53
898,48
835,45
789,42
745,41
723,41
704,43
720,45
747,48
784,52
832,56
886,60
944,64
1017,67
1075,69
1110,71
1147,71
1163,70
1159,69
1137,67
1111,65
1099,63
1055,60
998,59
975,58
945,58
950,58
950,60
961,62
986,64
1040,67
1072,70
1131,73
1163,75
1206,77
1244,78
1257,78
1269,78
1270,77
1286,76
1241,74
1220,72
1189,70
1168,68
1136,67
1116,65
1098,64
1074,63
1045,63
1023,62
1019,62
1007,61
995,59
981,57
951,55
928,52
880,48
832,45
778,41
722,37
666,33
618,30
569,28
529,27
510,27
506,29
522,32
554,36
601,41
672,47
743,54
837,60
924,66
1040,71
1107,75
1175,78
1221,79
1270,78
1265,77
1232,73
1213,69
1165,64
1100,59
983,54
914,50
867,46
814,43
715,41
766,41
765,42
716,44
733,48
782,51
799,56
903,60
1008,64
1014,67
1073,70
1120,71
1152,72
1173,71
1156,70
1163,68
1149,66
1111,64
1075,61
1080,60
987,58
967,58
905,58
928,59
944,61
1040,63
1009,65
1067,68
1139,71
1200,73
1173,75
1168,76
1222,77
1296,77
1259,76
1249,74
1221,72
1201,70
1158,68
1130,66
1104,64
1085,62
1023,61
997,59
977,59
966,58
953,57
912,56
902,55
899,54
898,52
861,49
834,46
799,43
752,39
695,35
645,32
601,29
546,27
525,26
496,27
495,28
497,31
538,35
579,40
653,46
720,52
815,59
907,65
1011,70
1100,74
1166,77
1215,79
1251,79
1275,77
1263,74
1221,70
1175,65
1113,60
1023,55
944,50
867,46
810,43
752,41
720,40
697,41
698,43
723,46
750,50
805,54
869,58
914,62
982,66
957,69
1107,71
1148,72
1167,72
1171,71
1164,69
1143,67
1123,64
1087,62
1037,60
999,58
961,57
944,57
935,57
929,59
949,61
976,63
1019,66
1067,68
1109,71
1136,73
1179,74
1197,74
1219,74
1211,73
1201,72
1191,70
1161,68
1122,65
1092,63
1043,60
997,58
966,56
933,55
912,54
900,53
884,53
877,52
868,51
848,50
836,48
812,46
811,43
753,41
719,37
666,34
622,31
577,29
549,27
511,26
496,26
487,27
480,30
531,34
576,39
635,45
709,51
798,57
880,63
971,69
1074,73
1145,77
1207,78
1238,79
1264,77
1255,75
1232,71
1190,66
1127,61
1040,55
950,50
869,46
812,42
743,40
713,39
688,39
683,41
690,44
727,48
770,52
829,56
884,61
949,64
1037,68
1087,70
1125,71
1149,71
1151,70
1149,69
1136,67
1113,64
1075,61
1023,59
975,57
955,56
926,55
912,55
909,56
902,58
944,60
959,62
997,65
1072,67
1087,69
1119,71
1146,71
1154,71
1168,70
1149,69
1148,67
1118,64
1072,62
1033,59
987,56
941,54
909,52
870,50
847,49
829,48
816,48
803,47
790,46
755,45
758,44
746,43
745,40
701,38
679,35
633,33
606,30
562,28
531,26
599,25
474,25
471,27
493,29
545,33
574,38
624,43
691,49
766,56
869,62
950,67
1056,72
1136,75
1185,78
1230,78
1258,77
1249,75
1231,71
1189,66
1122,61
1040,55
946,50
880,45
794,42
739,39
703,38
670,38
656,39
687,41
693,45
656,49
791,54
852,58
912,62
976,66
1045,68
1078,70
1140,70
1150,70
1140,68
1125,66
1099,63
1056,61
1008,58
963,56
934,54
906,53
893,53
880,53
881,54
878,56
897,59
921,61
971,63
999,65
1032,67
1090,67
1121,68
1108,67
1104,65
1088,63
1040,61
1011,58
971,55
927,52
885,50
847,48
818,46
781,44
784,43
719,43
740,42
724,42
839,41
702,40
690,39
681,37
655,35
637,33
587,31
576,29
531,27
480,25
666,25
445,25
494,26
524,28
496,32
572,36
598,42
651,48
719,54
846,60
918,66
1047,70
1134,74
1197,76
1207,77
1232,76
1230,74
1405,71
1168,66
1137,61
1035,55
1003,50
869,45
861,40
745,37
499,36
648,35
578,36
628,39
733,42
683,46
745,51
811,55
875,60
946,63
982,66
1054,68
1072,69
1212,68
1175,67
1089,65
1150,62
1023,59
987,56
973,54
901,52
885,50
848,50
842,50
838,51
905,52
982,54
871,57
912,59
941,61
976,62
998,63
1009,63
979,63
1127,62
1112,60
1042,57
915,54
908,51
873,48
847,45
758,43
723,41
807,40
745,38
669,38
666,37
654,37
652,37
624,36
629,35
645,34
605,33
592,31
623,29
539,28
529,26
496,25
478,24
491,24
454,26
467,28
493,31
537,35
573,41
